VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2019-08-17 23:24:00,2019-08-17 23:41:09,N,1,112,7,2,3.77,15.0,0.5,0.5,3.26,0.0,0.0,0.3,19.56,1,,0.0
2,2019-08-18 00:07:25,2019-08-18 00:10:43,N,1,112,255,2,0.76,4.5,0.5,0.5,0.0,0.0,0.0,0.3,5.8,2,,0.0
2,2019-08-18 00:37:43,2019-08-18 00:54:36,N,1,255,61,3,3.62,14.0,0.5,0.5,3.06,0.0,0.0,0.3,18.36,1,,0.0
2,2019-08-18 01:10:34,2019-08-18 01:25:14,N,1,256,107,2,3.34,13.5,0.5,0.5,4.39,0.0,0.0,0.3,21.94,1,,2.75
2,2019-08-18 02:22:03,2019-08-18 02:31:56,N,1,255,198,2,3.11,11.5,0.5,0.5,0.0,0.0,0.0,0.3,12.8,2,,0.0
2,2019-08-18 18:10:15,2019-08-18 18:14:23,N,1,255,255,2,0.62,4.5,0.0,0.5,1.06,0.0,0.0,0.3,6.36,1,,0.0
2,2019-08-18 18:23:23,2019-08-18 18:25:16,N,1,112,112,2,0.45,3.5,0.0,0.5,0.0,0.0,0.0,0.3,4.3,2,,0.0
2,2019-08-18 18:54:12,2019-08-18 19:20:15,N,1,80,43,2,5.59,21.0,0.0,0.5,6.14,0.0,0.0,0.3,30.69,1,,2.75
2,2019-08-18 20:06:20,2019-08-18 20:18:06,N,1,255,148,2,2.77,11.5,0.5,0.5,3.89,0.0,0.0,0.3,19.44,1,,2.75
2,2019-08-18 20:30:43,2019-08-18 20:35:10,N,1,255,112,2,0.82,5.0,0.5,0.5,1.58,0.0,0.0,0.3,7.88,1,,0.0
2,2019-08-18 20:40:57,2019-08-18 20:43:46,N,1,255,255,3,0.3,3.5,0.5,0.5,1.0,0.0,0.0,0.3,5.8,1,,0.0
2,2019-08-18 22:51:57,2019-08-18 22:54:13,N,1,255,256,2,0.43,3.5,0.5,0.5,0.0,0.0,0.0,0.3,4.8,2,,0.0
1,2019-08-25 20:54:12,2019-08-25 20:58:18,N,1,66,66,1,0.2,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,5,1.0,0.0
1,2019-08-29 14:12:20,2019-08-29 14:29:34,Y,1,254,208,1,5.0,18.0,0.0,0.5,0.0,0.0,,0.3,18.8,5,1.0,0.0
